"CURSO";"N° QUESTÃO";"N° ACERTOS";"N° ERROS";"NOME PROVA";"OPÇÃO LÍNGUA"
"EGM1AN-RJD - Cálculo Diferencial";"3";"2";"8";"Prova Objetiva";" - "
"EGM1AN-RJD - Cálculo Diferencial";"4";"3";"7";"Prova Objetiva";" - "
"EGM1AN-RJD - Cálculo Diferencial";"5";"2";"8";"Prova Objetiva";" - "
"EGM1AN-RJD - Cálculo Diferencial";"6";"1";"9";"Prova Objetiva";" - "
"EGM1AN-RJD - Cálculo Diferencial";"7";"3";"7";"Prova Objetiva";" - "
"EGM1AN-RJD - Cálculo Diferencial";"8";"4";"6";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"1";"1";"11";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"2";"4";"8";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"3";"0";"12";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"4";"3";"9";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"5";"1";"11";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"6";"2";"10";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"7";"4";"8";"Prova Objetiva";" - "
"ENC1AN-RJC - Cálculo Diferencial";"8";"6";"6";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"1";"1";"10";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"2";"2";"9";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"3";"4";"7";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"4";"3";"8";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"5";"2";"9";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"6";"1";"10";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"7";"4";"7";"Prova Objetiva";" - "
"ENC1AN-RJD - Cálculo Diferencial";"8";"8";"3";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"1";"3";"8";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"2";"4";"7";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"3";"5";"6";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"4";"4";"7";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"5";"2";"9";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"6";"2";"9";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"7";"7";"4";"Prova Objetiva";" - "
"ENC1AN-RJG - Cálculo Diferencial";"8";"5";"6";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"1";"3";"5";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"2";"5";"3";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"3";"2";"6";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"4";"3";"5";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"5";"1";"7";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"6";"1";"7";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"7";"3";"5";"Prova Objetiva";" - "
"ENE1AN-RJA - Cálculo Diferencial ";"8";"3";"5";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"1";"3";"5";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"2";"4";"4";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"3";"1";"7";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"4";"2";"6";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"5";"4";"4";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"6";"0";"8";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"7";"1";"7";"Prova Objetiva";" - "
"ENE1AN-RJB - Cálculo Diferencial ";"8";"4";"4";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"1";"1";"11";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"2";"6";"6";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"3";"0";"12";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"4";"4";"8";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"5";"3";"9";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"6";"1";"11";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"7";"3";"9";"Prova Objetiva";" - "
"ENQ1AN-RJA - Cálculo Diferencial ";"8";"3";"9";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"1";"4";"4";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"2";"4";"4";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"3";"3";"5";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"4";"2";"6";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"5";"1";"7";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"6";"3";"5";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"7";"3";"5";"Prova Objetiva";" - "
"EAM1AM-RJA - Geometria Analítica e Álgebra Linear";"8";"3";"5";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"1";"6";"1";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"2";"5";"2";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"3";"2";"5";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"4";"5";"2";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"5";"1";"6";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"6";"3";"4";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"7";"5";"2";"Prova Objetiva";" - "
"ECA1AM-RJA - Geometria Analítica e Álgebra Linear";"8";"4";"3";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"1";"8";"1";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"2";"4";"5";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"3";"4";"5";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"4";"0";"9";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"5";"4";"5";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"6";"7";"2";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"7";"6";"3";"Prova Objetiva";" - "
"EGM1AN-RJA - Geometria Analítica e Álgebra Linear";"8";"7";"2";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"1";"5";"3";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"2";"2";"6";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"3";"2";"6";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"4";"0";"8";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"5";"1";"7";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"6";"2";"6";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"7";"2";"6";"Prova Objetiva";" - "
"EGM1AN-RJB - Geometria Analítica e Álgebra Linear";"8";"5";"3";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"1";"6";"4";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"2";"5";"5";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"3";"4";"6";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"4";"0";"10";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"5";"4";"6";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"6";"5";"5";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"7";"2";"8";"Prova Objetiva";" - "
"ENC1AN-RJA - Geometria Analítica e Álgebra Linear";"8";"10";"0";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"1";"8";"3";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"2";"7";"4";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"3";"5";"6";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"4";"0";"11";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"5";"4";"7";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"6";"7";"4";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"7";"2";"9";"Prova Objetiva";" - "
"ENC1AN-RJB - Geometria Analítica e Álgebra Linear";"8";"11";"0";"Prova Objetiva";" - "
"ENC1AN-RJE - Geometria Analítica e Álgebra Linear";"1";"2";"3";"Prova Objetiva";" - "
